GEOID,Pop_Urban,Pop_Rural,%Urban_pop
49013,6261,13335,31.95
49015,0,9825,0.0
49017,0,5083,0.0
49019,7933,1736,82.05
49021,40899,16390,71.39
49023,6330,5456,53.71
49025,0,7667,0.0
49027,0,12975,0.0
49029,0,12295,0.0
49031,0,1438,0.0
49033,0,2510,0.0
49035,1177043,8195,99.31
49037,0,14518,0.0
49039,5049,23388,17.76
49041,8393,13129,39.0
49043,23448,18909,55.36
49045,58342,14356,80.25
49047,19675,15945,55.24
49049,631512,27887,95.77
49051,25096,9692,72.14
49053,153479,26800,85.13
49055,0,2486,0.0
49057,247561,14662,94.41
50001,6154,31209,16.47
50003,13759,23588,36.84
50005,4883,25350,16.15
50007,124449,43874,73.93
50009,0,5920,0.0
50011,11368,38578,22.76
50013,0,7293,0.0
50015,0,25945,0.0
50017,0,29277,0.0
50019,0,27393,0.0
50021,19550,41022,32.28
50023,20014,39793,33.46
50025,13339,32566,29.06
50027,12334,45419,21.36
51001,3223,30190,9.65
51003,67016,45379,59.63
51005,7134,8089,46.86
51007,0,13265,0.0
51009,11782,19525,37.63
51011,0,16119,0.0
51013,238643,0,100.0
51015,12193,65294,15.74
51017,0,4209,0.0
51019,23255,56207,29.27
51021,0,6270,0.0
51023,13627,19969,40.56
51025,0,15849,0.0
51027,0,20355,0.0
51029,0,16824,0.0
51031,24030,31666,43.14
51033,0,30887,0.0
51035,692,28463,2.37
51036,0,6773,0.0
51037,0,11529,0.0
51041,335271,29277,91.97
51043,0,14783,0.0
51045,0,4892,0.0
51047,22563,29989,42.93
51049,648,9027,6.7
51051,0,14124,0.0
51053,7919,20028,28.34
51057,0,10599,0.0
51059,1132574,17735,98.46
51061,31045,41927,42.54
51063,0,15476,0.0
51065,9825,17424,36.06
51067,5411,49066,9.93
51069,55391,36028,60.59
51071,0,16787,0.0
51073,10618,28093,27.43
51075,1798,22929,7.27
51077,17,15316,0.11
51079,0,20552,0.0
51081,1392,9999,12.22
51083,7413,26609,21.79
51085,69279,40700,62.99
51087,322036,12353,96.31
51089,17799,33149,34.94
51091,0,2232,0.0
51093,16039,22567,41.55
51095,67172,11082,85.84
51097,0,6608,0.0
51099,0,26723,0.0
51101,0,17810,0.0
51103,0,10919,0.0
51105,0,22173,0.0
51107,370669,50290,88.05
51109,0,37596,0.0
51111,0,11936,0.0
51113,0,13837,0.0
51115,0,8533,0.0
51117,5076,25243,16.74
51119,0,10625,0.0
51121,73709,26012,73.92
51125,0,14775,0.0
51127,0,22945,0.0
51131,0,12282,0.0
51133,0,11839,0.0
51135,0,15642,0.0
51137,15704,20550,43.32
51139,4742,18967,20.0
51141,0,17608,0.0
51143,6618,53883,10.94
51145,579,29754,1.91
51147,7268,14581,33.26
51149,21911,21099,50.94
51153,460047,22157,95.41
51155,19404,14396,57.41
51157,0,7348,0.0
51159,0,8923,0.0
51161,78115,18814,80.59
51163,2247,20403,9.92
51165,34105,49652,40.72
51167,158,25623,0.61
51169,365,21211,1.69
51171,13424,30762,30.38
51173,7281,22519,24.43
51175,316,17680,1.76
51177,95165,44867,67.96
51179,127665,29262,81.35
51181,0,6561,0.0
51183,0,10829,0.0
51185,19287,21142,47.71
51187,16193,24534,39.76
51191,16626,37309,30.83
51193,3975,14502,21.51
51195,12506,23624,34.61
51197,7154,21136,25.29
51199,65097,4948,92.94
51510,159467,0,100.0
51520,17043,176,98.98
51530,6496,145,97.82
51540,46553,0,100.0
51550,230136,19286,92.27
51570,18170,0,100.0
51580,5700,37,99.36
51590,41216,1374,96.77
51595,5479,287,95.02
51600,24146,0,100.0
51610,14658,0,100.0
51620,7857,323,96.05
51630,27982,0,100.0
51640,6058,662,90.15
51650,136715,433,99.68
51660,51492,322,99.38
51670,23025,8,99.97
51678,7320,0,100.0
51680,77732,1277,98.38
51683,42772,0,100.0
51685,17219,0,100.0
51690,13474,11,99.92
51700,185551,696,99.63
51710,238005,0,100.0
51720,3322,365,90.1
51730,32552,906,97.29
51735,11353,1107,91.12
51740,97915,0,100.0
51750,15396,674,95.81
51760,226610,0,100.0
51770,100007,4,100.0
51775,25346,0,100.0
51790,25198,552,97.86
51800,68804,25520,72.94
51810,451132,8338,98.19
51820,21674,522,97.65
51830,15407,18,99.88
51840,28120,0,100.0
53001,10865,9748,52.71
53003,20667,1618,92.74
53005,181751,25122,87.86
53007,52482,26592,66.37
53009,49309,27846,63.91
53011,435459,67852,86.52
53013,0,3952,0.0
53015,74215,36515,67.02
53017,32040,10898,74.62
53019,0,7178,0.0
53021,85676,11073,88.55
53023,0,2286,0.0
53025,54647,44476,55.13
53027,46051,29585,60.89
53029,45356,41501,52.22
53031,15414,17563,46.74
53033,2194904,74771,96.71
53035,227183,48428,82.43
53037,25364,18973,57.21
53039,4613,18122,20.29
53041,32713,49436,39.82
53043,0,10876,0.0
53045,20048,45678,30.5
53047,8165,33939,19.39
53049,8663,14702,37.08
53051,0,13401,0.0
53053,858662,62468,93.22
53055,3542,14246,19.91
53057,85354,44169,65.9
53059,0,12036,0.0
53061,730291,97666,88.2
53063,460455,78884,85.37
53065,5058,41387,10.89
53067,231890,62903,78.66
53069,0,4422,0.0
53071,49909,12675,79.75
53073,161998,64849,71.41
53075,32691,15282,68.14
53077,178600,78128,69.57
54001,0,15465,0.0
54003,82492,39584,67.57
54005,0,21809,0.0
54007,0,12447,0.0
54009,13168,9391,58.37
54011,73566,20784,77.97
54013,0,6229,0.0
54015,0,8051,0.0
54017,0,7808,0.0
54019,15000,25488,37.05
54021,0,7408,0.0
54023,0,10976,0.0
54025,7227,25750,21.92
54027,0,23093,0.0
54029,19517,9578,67.08
54031,0,14299,0.0
54033,36734,29187,55.72
54035,0,27791,0.0
54037,22100,35601,38.3
54039,127648,53097,70.62
54041,4430,12603,26.01
54043,0,20463,0.0
54045,8821,23746,27.09
54047,0,19111,0.0
54049,31767,24438,56.52
54051,15621,14970,51.06
54053,7962,17491,31.28
54055,34717,24947,58.19
54057,8290,18648,30.77
54059,0,23568,0.0
54061,77620,28202,73.35
54063,0,12376,0.0
54065,0,17063,0.0
54067,0,24604,0.0
54069,28435,13990,67.02
