GEOID,TOTAL_VOTES,DEM_VOTES,DEM_SHARE,REP_VOTES,REP_SHARE,THRD_VOTES,THRD_SHARE,PARTY_WIN,PARTY_LEAD, 
5051,44199,14045,31.78,29069,65.77,1085,2.45,0,-0.34,
5053,8200,1268,15.46,6794,82.85,138,1.68,0,-0.67,
5055,16100,3058,18.99,12670,78.7,372,2.31,0,-0.6,
5057,6848,2138,31.22,4470,65.27,240,3.5,0,-0.34,
5059,12557,3082,24.54,9202,73.28,273,2.17,0,-0.49,
5061,4834,1340,27.72,3367,69.65,127,2.63,0,-0.42,
5063,14512,2806,19.34,11250,77.52,456,3.14,0,-0.58,
5065,5810,1021,17.57,4631,79.71,158,2.72,0,-0.62,
5067,5091,1365,26.81,3593,70.58,133,2.61,0,-0.44,
5069,25158,14981,59.55,9521,37.84,656,2.61,1,0.22,
5071,9498,2283,24.04,6938,73.05,277,2.92,0,-0.49,
5073,2679,839,31.32,1757,65.58,83,3.1,0,-0.34,
5075,5857,1080,18.44,4569,78.01,208,3.55,0,-0.6,
5077,2848,1423,49.96,1286,45.15,139,4.88,1,0.05,
5079,3875,1032,26.63,2729,70.43,114,2.94,0,-0.44,
5081,5177,1226,23.68,3715,71.76,236,4.56,0,-0.48,
5083,8225,1544,18.77,6441,78.31,240,2.92,0,-0.6,
5085,30662,6686,21.81,22884,74.63,1092,3.56,0,-0.53,
5087,7351,1563,21.26,5658,76.97,130,1.77,0,-0.56,
5089,7503,1531,20.41,5783,77.08,189,2.52,0,-0.57,
